bisentiment,cleaned_review,words,sentences
0,cheap  grainy film italian flick couple inheritor manor italian countryside head house stay  find getting kill ghost people kill house.i impressed . scary  way cheap italian film . girl  cousin  cousin girlfriend  head huge house reason  figure  stay  clean check place . character come film  boring point  majority death rush . girlfriend hit car flee house have dream death  scene good  thing slow  confusing end  male cousin kill weird way  weirdo guy  figure movie  maybe remember  go girl  attack  finally girl kill . hate away end  oh . female cousin decide stay house watch  scene live year later . end . miss   probably will find  lucky .,132,10
1, br i like film . rare film hollywood anymore . william h macy great hit man soul  neve campbell flat fantastic woman put life track redemption.if chance  film . earn praise,34,5
0,normally write review  film . shock acting talent go waste . script appalling . edit awful . plot thin . spend half movie wonder talk earth . half movie slow slightly  depth feeling . save grace nice  limited cgi  location london . give 3 star  fact actor try good job drivel give . fancy lose couple hour life mediocre popcorn disaster movie entertainment  mean  movie . recommend time instead  like watch real archive footage online !  httpwww.weatherpaparazzi.comflooding.asp,86,10
0,movie sooooooo sloooow ! ! ! bland  acting  plot  etc . disappointment  description look good ! fool ! movie worth time take watch ! ! !,30,5
0,show twice short time sweden tired . bad acting . story boring effect hardly exist . love original 1953 recommend rent instead . bore .,25,4
0,"require watch movie work  pay  contrary  get pay   find movie suck far average . joke lame  lead actress .  use "" wife club "" division woman age hollywood  long "" hot chick "" age "" district attorney "" age . anger movie main plot line  pretty completely plagiarize "" beavis  butthead america ""  boy jazzed dude offer money "" wife ""  realize expected assassinate  .  bland piece crap .",82,4
1,"think unfortunate lead comment movie include word "" clueless appalling nonsense . "" think funny movie excellent entertainment . suspend disbelief homosexual man lesbian woman fall love  child live happily . wonderful play movie heart warm . impossible ? far implausible event describe movie . act good  script funny . negative comment story end family drive away initial house instead extend explore man retain residual homosexuality .",69,7
1,"see posh movie theater audience usually white  educate  urban . show attend sprinkle african americans  difference audience reaction group wonderful social commentary state race relation country . basically  white folk afraid laugh laugh nervously funny bit and ! "" laughte black ""  black stay pretty silent laugh white .  br i  hand  asian  belong group   great time view satire rap culture egos  trapping  value  pseudo philosophy . cast talente great job character portray . song funny believed.this film good pseudo documentary come  include "" mighty wind """,101,8
1,grinch steal christmas instantly steal heart favorite movie viewing .  viewing later  impact time see it.screenwriters jeffery price  peter s. seaman frame roger rabbit fame fantastic job adapting story grinch screen . ron howard direction bring story life  jim carrey typically energetic performance grinch steal show.some detractor film claim true spirit principle original story . having read original story  agree . movie make point christmas true mean original story .  enhance impact story make personal showing grinch was.mild spoiler   probably ruin movie . see want know story see  skip paragraphs.i think relate grinch terrible experience school . think  time  unpopular school pick . know . personally sympathy grinch go through.and cindy lou naive idealism  believe bad  heart rending . turn back grinch fear ignorance  cindy lou determine friend . attitude.in fact  think thing film little well tone adult humor content . pretty restrained  adult humor  like grinch slammed nose martha whovier cleavage  fit story like this.this way christmas classic  take richly deserve place alongside book chuck jones cartoon christmas season .,189,12
0,oscar wilde comedy manner  witty play write  wreck hand second rate cast . sander  expect  casually  indolently brilliant role lord darlington  rest cast make entire procedure waste time . jean crain attempt stage accent alternate sentence member cast believe melodrama comedy   entire production bookend reduce tragedy doubtless hay office insist . preminger direction lie make sure plenty servant music banal . stick visually perfect silent farce direct lubitsch 2004 screen version helen hunt mrs . erlynne  try read play pleasure word . skip version .,93,7
0,"history nut particularly interested particular historical event  disappointed movie . grant  costume stage authentic  hollywood portrayal "" british little big horn "" truly boring.the film footage dedicated marching parading troop unprecedented film history . eveytime hear triumphant background music begin  know prepare laborious scene meaningless filler . obviously  producer invest heavily "" staging "" determine money worth.despite outstanding cast  dialogue   boring character develop . peter o'toole burt lancaster finished scene  cringe disappointment . give line weak meaningless hardly believe great actor portray lawrence arabia bird man alcatraz respectively.there bad epic  well .",101,6
0,"script laughable . turn  make actor ' line sound stiff unrealistic believe . repetition phrase "" sweet little god daughter "" minor variation line come mind . sloppy soap opera dialog.worse  music wrong ! plus  main bluesy "" theme "" horribly quaint entirely wrong . feel overused instrumentation  texture arrangement theme change  scene emotional context does.subsequently  appear  stick like sore thumb main transition scene another.the music corny  writer write music soap sitcom low budget 80 canadian sitcom make feel brink throwing commercial.this miscast  lot overact real stretch character employ type ny accent thick bronx accent . know question actor ' limited capacity know   ny accent question director ability notice glare anomaly.in end  amateur script leaden line make entire "" movie "" . blow . foundation shaky unstable  impossible build flaw reveal exponentially damaging unflattering way .",148,7
0,clint eastwood bronco billy  leader wild west troupe  regular misfit comprise struggle break touring . seventh member bunch woman  billy assistant  woman long  position chronically open . enter antoinette lilly  sandra locke  eastwood girlfriend time  . miss lilly  doc  scatman crother  call  heiress receive long decease father estate marry time turn 30  eve birthday get hitch cartoonish geoffrey lewis.so  plot film ? hard . romantic tension billy miss lilly  problem half movie haughtily insipid detestable suddenly ' troupe ' halfway film  unbelievable  audience past caring . chronic lack fund wild west  topic touch raison d'etre film . miss lilly predicament strand rural west  cut fund fuel spoil life luxury  mistakenly believe dead family press  . suppose believe new york wait fortune give bit effort?no  point film billy leader family  lovable bunch loser hang thick thin . warm  fuzzy film  try .  br along way  clint show skill gun  foil bank robbery shoot grotesquely place relatively non violent film . gang arrest old draft evasion charge  billy bribe local sheriff . tent burn  orphanage make new . numerous mundane pitfall plot make.compounding problem act  lack thereof . aside scatman crother  support cast amateurish . eastwood game  look well simply virtue surround lackluster bunch.and  film plod 116 minute . point ? good question  br 4 10,249,18
1,"steve carell come star role 40 year old virgin  have support role film bewitch  bruce almighty  anchorman  work daily  get small taste comedy carell truly make . tell ferrell influence "" comedic air "" carell take level  innocent  lovable  hilarious . hesitate steve carell great comedian time.the 40 year old virgin hour non stop laugh  4 hour twice like   perfect support cast great lead charm audience entire movie . script perfect great line want movie try remember . music fit tone movie great  tell director know doing.filled sex joke  nudity  lot language  movie like wedding crasher  anchorman  movie line  absolutely love 40 year old virgin .",123,5
0,model chris mccormack  margaux hemingway  brutally rape teacher  chris sarandon  sister kathy  mariel hemingway  . bring trial go totally free . rape kathy!objectionable sick rape film . movie advertise important drama deal rape . badly write   badly act drama . purport sympathetic victim rape shove scene face . totally honest  hemingway act bad sequence lose real impact . trial scene bore predictable . movie go far 15 year old mariel rape  thankfully show  . admit lead great end margaux grab gun shoot sarandon dead . seriously have young girl rape revolting.acting help . instance  margaux actress . certainly beautiful woman  actual model believe  act leave lot desire . lessen film . mariel ok film . sarandon rapist . bad terrible script work him.i remember hear screen 1976 woman stand cheer sarandon kill maybe work people . find boring  simplistic sick . 1 way .,158,19
0," possible spoiler alertit unlikely seagal scale height lousitude  deadly ground   mainly going let direct   sure try  he?this typically brainless badly write little fantasy indian folk remedy effective western medicine . seagal actually believe nonsense  explain life expectancy americas europe high 1492.kinda like explain suppose "" water fuel engine "" work  deadly ground.even "" action "" suck .",64,4
0,"recommend christmas movie worthless piece drivel  trust  double negative require bad  . film trouble open credit reveal screenwriter person songwriter . musical number far long good  "" thank "" decent melody  lyric stupid word  . gladly bear chain wear scrooge film bizarre hell sequence sit insult movie musical again.the entertain movie  completely unintentional way  involve alec guinness jacob marley . dress silly powder white costume  guinness foppishly prance scene attempt appear float like ghost  utter disdain have dreadful movie . albert finney   blend good alistar sim charles laughton create hopelessly loathsome character quasimodo  scrooge . finney scrooge hideous person  impossible believe transformation.steer clear abomination filmmake cost .",120,7
1," tell lie  fact good movie time  enjoyable movie know seen.it buddy cop movie star jay leno pat moritamr miyagi  fluff story miss car engine prototype  matter . reason movie fun interaction lead  initially dislike distrust shocking twist fate end friend . culture difference thing  fun watch  completely ridiculous cheesy enjoyable kind way . soundtrack cool  cheesy 80 kind way  suit movie  trying find song age  working memory think word find it.another thing movie fantastic pay movie  will away  oh ! conclusion movie 48 hoursmost eddie murphy output include beverly hills cop  buddy junk jackie chan martin lawrence name . look buddy cop movie getting feed "" straight white cop meet zany streetwise black cop "" shoot . pleasantly surprised cos turn formula upside "" straight japanese cop meet zany streetwise white cop"".i'm give 7 . honest like . watch lot stuff 8 . guess know deep sort insanity make like movie .",167,11
0,force watch film world reigonal geography class . film wrong america today  instead figure good way hard time situation complain fault . film go downfall flint  michigan blame 100  general motor . process moore go great length executive general motors villain job capitalist society . moore film eviction film ask person evict gm layoff . additionally  interview landlords tenant film . moore go great length twist historical event fit political agenda film pure propaganda .,79,7
0,""" know town girl pretty . fact town downright ugly . time town girl "" sure fan great classic remember phrase belong vin . truly magnificent seven  movie  .  br now want phrase . know see movie plot good . fact see movie plot terrible  time life see film plot all.ok . maybe statement little bit  honestly . plot crap go movie . bad guy  oh  ask  remember close calvera character unforgettable .  try build church late son  kill battle  bad guy kidnap poor villager force build church .  br first big church force hundred villager build . egyptian pyramid ? ok  let stop plot absolutely forgettable character bad guy let word seven .  br yul brynner good old chris  calm  silent  talk talk wise go  unfortunately  . oh . calm .  calmness fake buy .  imagine  meet good old friend chico  rescue year "" hi  hello "" handshake  far remember   . honestly  look like meet stranger internet chat  meet chris chico . make "" new chris "" look like robocop terminator belove wise quickgun .  br i will stop talk character . simply .  imagine strong actor like yul brynner fake forgettable  character look like  .  br there attempt background story . example woman favorite guy  second man dark past wife rape kill indians kill move . non character make sense non heart.i remember little child o'reilly  charles bronson character  die movie cry .  care . crew film die  care .  br so   movie . recommend  will chance bad .",292,22
0,despite mysteriously positive review high rating  awful movie . awful  l feel obligated warn bad .  br the movie set final period raj  time india fight independence . follow ridiculous plot fill disbelief . character behave persuade character exist era .  br for instance  young married hindu housemaid local village affair marry englishman master  know discovery affair likely mean utter social ostracization shame mortal punishment ? unlikely  maybe .  young hindu housemaid  conservative society india era carry like half naked britney spear heat  partake hot outdoor sex daylight open view discover moment ? bloody unlikely  retarded plot line.such idiocy combine poor acting  drive leave cinema hour movie  watch second half movie . hope end intelligence see half .,132,10
1,21 comment add list barely criticism . film terrific entertainment bit it.it little frightening young child 15 year old son think fantastic way action  humour beautiful music score.i buy dvds know going regularly watch finally available uk  certainly add collection .,43,2
1,movie well produce disney.the plot original entertaining . animate sequence live actor .  time.perhaps favorite sequence contain movie march suit armor .,23,3
0,"finally rent video searching month . initially want neil pearson fan  patrick  boyfriend isobel  lead  .  movie stand neil  handle movie  overshadow main female character  . eerie  intense movie  sort brit definitely "" chick flick "" house isolate set give movie "" wuthere height "" aura . movie tension end  shocking  inevitable . glad watch  worth wait",70,6
0,forget fact people expect action movie form seagal . movie simply substance . long  draw  boring . scene long camera focus long period time absolutely happen . cure insomnia . bad seagal movie far  like movie  . 110,42,7
0,"movie pleasure watch fan stooge . story tell point view moe howard relationships brothers shemp jerome  curly  howard  life long friendship larry fine . movie deal camera high point pit fall stooge multi decade career . cast director makeup artist fair job finding actor resemble famous ensemble . actor play "" curly "" howard fine job portray camera antic belove stooge . fan stooge short .",69,6
0,mathematical genius critic juice flow ? beautiful mind wasnt opinion  fellowship ring deserve oscar year  good hunting award lavish undeservedly  br first script . attend film school tell good hunting good example start script tutor right . movie lack type opening hook its slow . write unsolicited script like script reader give page 15  br structure aside idea member american underclass sort intellectual god doesnt ring true . ask  hes cleverst character movie come hes go short life noticing ability ? single teacher childhood notice gift ? highly unlikely fact hes read mind expand litrature . wills clever come hes oblivous happen young good look boy american prison ?  br but its cast let film . want couple actor play rough tough irish gang member ? lets matt damon ben affleck like get russell crowe play pacifist charles bronson play liberal gooder . fail convince foul mouthed damon affleck strut smack people chop couldnt help think write script part award different actor  billy bob thornton write screenplay film hasnt cast criterion apply  br there good point movie . robin williams excellent man try potential good stellan skarsgard simply great character actor step foot outside europe despite previous criticism script move piece dialogue park williams character explain see life  br but ive get repeat theres plus point negative movie ive get agree people whove say good hunting bore unconvincing,249,16
0,""" return chandu "" notable   cast bela lugosi hero villain . get girl.br   story  involve black magic cult ubasti try capture egyptian princess nadji  delectable maria alba  use sacrifice mean revive ancient leader happen look like nadji . lugosi chandu  possess magical power  try thwart villains.br   director ray taylor good limit resource extensive stock footage . fan king kong  1933  recognize giant door kong bay scene . act  awful . actor play high priest  believe lucien prival  example  use act coach inspire pronunciation common early talkie . say better.br   mystery lugosi accept part independent quickie stage career  bankable star universal time . maybe case get play hero girl  know . career start spiral downwards late 30  kind fare norm lugosi exception.br  ",140,9
0,"perfect example people 90 suck come horror movie . boring voodoo campus tale terror star promise corey feldman  stand  lose boy  etc  . stuff happen fall asleep look cheap  horror aim audience early teen 90 . audience  get good watching . nowadays  teen lot well  imagine know care corey feldman .  "" ""  actually  dude make film . thing link day glory  lose boy 2  tribe sequel get recently . imagine go encourage seek voodoo . movie get lose 90 horror obvious reason .",97,9
1,hope writer  director  editor  composer  let forget producer  read . work truly incredible movie . let start say way affiliate movie . regular guy fan movie 12 year see 8 times.every second movie touch . scene classic . act real . movie honest . relate character people  actors.this tale follow distinct killer different stage live . story carefully think sub plot intertwine woven  culminate message leave ponder value right wrong carry inside.crispen glover  daniel roebuck  dennis hopper  joshua john miller  12 year old boy  absolutely amazing  real performance . see movie 8 time absorb performance forget watch movie . good . great job work . great job.the music wonderfully match haunting . choose cast  carefully time editing pacing  mood tone  subject matter  director good decision movie seen.this movie real . honest . true movie experience forget . subject matter ignore . ultimately  people people . relate . recommend movie fan drama  suspense  horror film .,175,18
1,"film . think act bad actually understate natural . obviously evil act stunningly beautiful moment . lot indecision  lot conflict feelings.actually film take honest look complex subject  sex minor . complex character try deal love sex body hormone develop mind personality develop . complex society simplistic view sex minor  complex  character know society right instinct right.some like movie leave unanswered question . question charge relationship  damage  good come  art  damage  problem relationship stem forbid society  problem stem immaturity  probably important  truly crime?the film resolutely neutral  neutrality strength . reason understate acting  simple set  lack background music  soft lighting  general "" flat "" presentation . message clear . understand kind relationship today  quick judgment bind shallow .",134,11
0,minute show cold crusty willis character pretty enjoyable  especially jean smart  tank . hackneye big man little irritate kid stuff way innovation . know casting probably pick kid willi irritate young self  find kid especially irritate whinney .,41,3
0,movie disaster disaster film . great action scene  meaningful throw away sense reality . let  word wise  lava burn  steam burn . stand lava . divert minor lava flow difficult  let significant . scare think actually believe see movie.even worse significant talent went make film . mean act actually good . effect average . hard believe somebody read script allow talent waste . guess suggestion movie start tv . look away ! like train wreck  awful know come  watch . look away spend time meaningful content .,94,13
1,"people find previous fierce people comment "" psycolicious "" "" topdany "" "" helpful  "" future site visitor author delete  negative critique short site guideline mandate  entirely bogus  nonfactual  incorrect  misinformative . instance  blythe dad coma  dead maya finn visit hospital . furthermore  estate deer poacher dwayne blythe knock jilly maid  etc .  etc . add make incapable focus simple detail  condition pretend siskel ebert .  include disclaimer comment !",83,5
1,despite new york setting  new york character  ' summer city ' american movie  well . unusual mix style genre . director niami show deft touch combine comedy tragedy  pathos drama.the secret niami success appear smorgasboard great character film build fill beautifully realize performance wonderfully eclectic cast struggle find country let movie  range bai ling ornella muti  robert burke peter stormare reveal lot bad guy stereotype play hollywood picture . sandra bernhard funny !  br an add bonus  cream substantial cake  john cale soundtrack .,93,5
1,""" rififi "" terrific heist movie  subsequent heist film draw . jules dassin feel seedy underworld thief live find hollywood glamour "" ocean . "" robber "" rififi "" rob thrill  play game . rob survive  pay child upbringe  prove offer world . laud heist scene nail biter  film virtual silence . feel plot went bit long need  high speed race deliver child mother end film classic.be warn movie bleak . good.grade  a",80,7
0,"gee  crappy movie ! understand people find scary "" grudge "" . director play trick  admit good  bring life stylize  repeat rest movie . consequence startled time quarter movie  know drill practically fall asleep grudge grow predictable minute . conclude  lot well movie genre begin  call predecessor "" ring "" way scary buying ticket "" grudge "" waste money .",67,5
0,"film genre describe "" comedy  thriller ""  . fine cast  interesting premise  unpleasant film watch . hemp film ? "" save grace "" "" lock  stock . "" far enjoyable film . rating  2 10 roach clip",43,5
0,"film fail count . start pretentious  strive "" significant "" fail miserably . script banal extreme  time say remotely interesting . impossible care character . knightly self waste time whilst sienna miller waste time . bit soldier go war clich film atonement . use second world war backdrop clich . bomb  shelter tube station etc . employ import bit need drama . anybody think moment film worth make comprehension . case "" let costume look authentic  mind story  script acting ! """,87,9
1,penny princess find american work girl yolande donlon inheritor small kingdom lie triangle france  italy  switzerland meet call lampidorra . lampidorrans owe bill europe main occupation country smuggling geography . american multi millionaire buy place  die title . near heir donlan.but course estate probate america lampidorrans ? especially donlan princess forbade smuggling.enter dirk bogarde trip switzerland learn cheese industry . lampidorran kind cheese playfully refer schmeeze . bump road  schmeeze solve problem financial  geopolitical  romantic donlan bogarde.how schmeeze work  gimmick film . hint . lover come jack kruschen get hold secret schmeeze busy invent vip rock hudson advertising agency.anyway penny princess delightful blend british farce romantic comedy . yolande donlon play role marilyn monroe cast film pond . dirk bogarde cast begin career romantic heart throb  way suspect act chop had.this film sadly show o'clock morning tcm . find reason grateful insomnia .,151,12
1,"people harp "" them like "" point fantastically entertaining  quaint look  comedy horror writer director glenn mcquaid.it tale graverobber  play dominic monaghan larry fessenden  end dig silent  immobile corpse . initial shock soon realise actually turn situation advantage . try . mind  thing work plan poor young arthur  monaghan  actually relate tale priest  ron perlman  take gallows.looking detail filmography  mcquaid take core  short movie expand feature effort  bad thing . fessenden return  monaghan guy actually like go nefarious business steal dead genre favourite perlman angus scrimm scene film lot fun genre fans.it benefit unique favourable design look  time move e.c . comic style panel live action  la creepshow  feel authentic hammer horror feel . maybe cover dry ice point . capture film  work . work well.it actual scare film great vein black humour definitely soak minute runtime macabre material patience horror little bit sedate feel like definitely day hammer.see like  flesh fiend  doctor devil  creepshow .",177,9
0,stupid idea . ewok enslave torture . utterly useless specie . fine want line text unende hatred ewok ? fine   fool .  inferior race slaughter en mass lucas pussifie entire series foul presence . little bear large ass  probably smell like donkey crotch . yeah  say  donkey crotch . little technology whatsoever  resort stick makeshift weapon . surprised access fire . guttural language make skin crawl . can not . suppress . anti ewok . rage ! ahhh ! ! !,87,14
0,". level wit comedy operate . barely reach feature length  "" . ' till need glass "" collection   dirty joke . short believe realize suppose punchline  example  santa claus gag   long believe realize needed time set punchline  example  student ' award gag  . nearly direct artistry . wrong  1 10 joke actually manage funny  iron  phone probably favorite  . wonderful frontal nudity prove   female body  especially natural form  good thing planet  comedic male nudity  . agree intentionally stupid title song actually pretty damn catchy ! reason film  4 .",107,9
1,"especially look crap dvd . find movie funny . rip tear classic barb  rob schneider hilariously annoying compensate ensign  bruce dern make great "" villain "" . entire cast have blast  expense audience . like plain fun comedy  look deeply meaning  fall love .",49,5
1,hear movie think like duchess2008   see 30 minute young victoria know solid movie . movie great  costume amazing setting beautifully shot.the thing let performance . emily bluntthe devil wear prada  star film  bring victoria life movie show great actress maybe pick oscar nomination performance . rupert friend bland prince albert great chemistry emily blunt . paul bettany solid lord melbourne expect . jim broadbent miranda richardson support role forgettable.to film feel like unfinished . maybe screenwriter change thing script  know feel movie.but overall great movie early year victoria great performance emily blunt .,98,7
0,think disappointed sci fi flick . thing  direct tim burton . thing  remake suppose classic . find boring  gross  ridiculous . see  know mean . imdb crap boy  right !  avoid . snorer . 1 10 .,44,9
1,love meatball ! terrific character poignant situation dearly love . bill murray hysterical get to love 4 mile trail race end ! total classic favorite 20 year . bring fond memory camp deal nicely experience reject foolish peer empowerment bring rescue sympathetic adult . ton great liner assortment wacko counselor . kind movie repeat key phrase friend year afterward . overtly crude sweet late ' 70 soundtrack bring right nostalgia . meatball  classic . forewarn ! sequel putrid stink bomb simply buy right marketing . connection ivan reitman masterpiece .,91,12
0,"film author  steven greenstreet  obviously idolize michael moore  follow footsteps moore propaganda film make tactic . moore expertise distract view focus  greenstreet obviously skilled here.have privy issue surround moore speech uvsc  disappointed major complaint community moore pay  40000 state utah educational fund basically promote john kerry campaign advertise liberal movie push background greenstreet less issue sensationalized.the marketing method video equally bias objectionable . promote film claim "" mormon try kill moore "" . preposterous  defame major religion greenstreet obviously personal issue . follow moore visit closely  major news agency note moore visit come go credible security problem incident utah.greenstreet bank film jump start film make career point drop film school help accelerate . severe miscalculation  moore visit roughly 60 college university country 2004 dilute interest common event . greenstreet assumption american audience interested film promote religious conservative angle founded.even film  divide state  somewhat misnomer utah vote overwhelmingly bush election appear politically unify state . division movie title indicative gulf exist greenstreet ideological difference religion state .  find humorous correlation religious angle suppose documentary woody allen hilarious contention sleeper  1973   "" beat quaker "" .",198,9
1,' film ' work true try . ignore dynamic plot focus message  little bit main character  michael . male female  come point life want look reexamine situation relationship . occur like remember ? go wrong ? michael desire find grace completely selfish .  want feel well thing turn .  sympathetic character selfish come relationship . . film end  sure michael learn new . good gauge relationship friend  nadia . soul movie remind side story . find michael pompous  arrogant  plain clueless . exactly like . real character . want analyze previous relationship  film . closing  film .,108,16
1,' bonnie clyde ' ' thelma louise ' fine road movie . set main character gently easily . viewer learn underlying tension quickly  tribute director . young french  english  speak son want france  french girlfriend drink alcohol  party young man . moroccan arabic  french  speak father devoutly follow muslim faith  generosity wisdom elder reject new culture surround  like mobile phone  . film explore powerful politic odd couple drive yugoslavia  turkey middle east mecca . area muslim population involve war  repression  ethnic cleansing  dictator pursue torture summary execution hold power religious community constant deadly battle . film move place possibility hint agenda . relationship key film  faith  politics backdrop . say human  need understand care order manage world . certainly ' natural bear killer ' well .,143,11
1,"thing like pt anderson  gut talent people push push make star . case point  wash . burt reynold deliver great performance film . prove adam sand great actor  punch drunk love  . come mark whalburg . like see before.i think people pass "" boogie night "" cause anti porn  flat hate adult industry overlook aspect film . underneath great story character lose battle regain . beautiful film . bad people .",76,8
0,omega code model cinematographical inconsistency . bit  precious little  good acting  primarily prophet rostenberg  appear line . act decidedly bad . plot line weak  partially base questionable biblical interpretation . certainly year good .,39,5
0,"hard bad thing  bad acting  poor acoustic different portion  bad cgi  improper set period  poor script . nice script follow original tale bit close tension good material beowulf provide great deal good material  well story line  scriptwriter come with.and introduce strange new weapon like crossbow fire explosive bolts?i movie "" "" 21 day . show lack quality . begin think general  poor  attitude take sci fi channel   come make movie classic tale past years.what waste !",86,5
1,"year ago watch "" matador "" cinema love movie . obviously  totally impression pierce brosan magnificent role . yesterday  catch movie tv look bit deeply .  certain movie special get to ' love man .  br brosnan lifts grade opinion amazing performance julian noble  tired hit man friend . soon julian meet danny wright  greg kinnear  mexico city  man get bad luck  son die accident  job go sure wife bean  hope davis.i like movie like  crime movie big touch humor . humor come brosnan tell joke dwarf big d . favorite line movie  "" look like bangkok hooker sunday morning  navy leave town . "" brosnan say charm drinking margarita usually . like greg ' typical american face ' kinnear role loser lively plenty people like danny wright.so recommend watch possibly good role brosnan . smile admire time . great brosnan equally great movie .",159,15
1,""" tempest "" somewhat self indulgent  uneven  discursive movie . lord byron  visitor greece  protest friend john murray similarly self indulgent discursive "" don juan  "" "" profligate life  thing?""the connection shakespeare "" tempest ""  commentator claim  bit tenuous . watch film read "" tempest  "" far close . make film flawed uneasy mixture straightforward normal narrative sudden jarring apparent improvisation  particularly cassavete rowland . honest  scene remarkable gripping film  hard watch.the music film  compose stomu yamashta  overlook . particularly fine perfect little piece play accompany afternoon siesta  people  animal  seemingly entire island collapse sleep away hot afternoon . sublime moment  representative good aspect movie thing keep somewhat unified  fact  aside extensive flashback end  story day island  awaken night .  br overall  watch film times bombastic hollywood piece crap . fact  probably watch dozen time . time  miss before.confession  biased . second movie take greek american goddess wife see.trivia note flick   br  molly ringwald movie  sam robards' actually film island  gytheion  southern tip remote mani peninsula peloponnesus greece  today standard  primitive special effect bran ferren  later head disney imagineere  later adviser intelligence community paul mazursky  director  choose title recent autobiography  "" magic  "" script "" tempest . """,239,11
